version,wl,a0,T_coeff,S_coeff,a0_err,T_err,S_err,a0_raw,S_coeff_raw
2,3574,21419.2303227205,-19.21103284,-134.417018125,203.876279,0.203523,1,21420.1623,-134.48812
2,3576,21208.9859722076,-19.00973326,-132.972234,189.327236,0.203523,1,21208.79124,-132.972234
2,3578,21003.0616197429,-18.81656832,-131.408636740741,170.598378,0.203523,1,21005.63127,-131.583421
2,3580,20802.0727298417,-18.61332685,-129.689599592593,156.847593,0.203523,1,20802.83107,-129.761642
2,3582,20604.1671728942,-18.40565096,-127.915706,147.756188,0.203523,1,20600.4794,-127.915706
2,3584,20409.5036221775,-18.21790005,-126.2394939375,125.988172,0.203523,1,20408.39478,-126.226054
2,3586,20218.1719846672,-18.03449023,-124.765993,102.963946,0.203523,1,20221.88343,-124.723833
2,3588,20029.8528576896,-17.85691303,-123.5245240625,90.066003,0.203523,1,20032.14782,-123.472243
2,3590,19844.5818208373,-17.66517706,-122.544408,79.853478,0.203523,1,19843.15724,-122.544408
2,3592,19661.8230270126,-17.44589616,-121.677114777778,61.48348,0.203523,1,19662.47539,-121.792911
2,3594,19481.9412086526,-17.24823211,-120.812739555556,54.67709,0.203523,1,19477.35485,-120.902159
2,3596,19304.8644293981,-17.06134851,-120.038541,31.098537,0.203523,1,19309.75922,-120.038541
2,3598,19130.5386679496,-16.89057602,-119.4571349375,27.027638,0.203523,1,19129.72681,-119.502111
2,3600,18959.1031123465,-16.73737203,-119.097866,12.481053,0.203523,1,18959.97928,-119.141632
2,3602,18789.5330971927,-16.60704129,-118.9380860625,2.31878,0.203523,1,18788.94732,-118.932772
2,3604,18623.2857126643,-16.45674084,-118.955147,13.424583,0.203523,1,18625.81508,-118.955147
2,3606,18460.7724234485,-16.28634521,-119.03169934375,25.316393,0.203523,1,18463.71399,-119.128636
2,3608,18302.1789851944,-16.10269955,-119.08707275,30.26003,0.203523,1,18299.8337,-119.143769
2,3610,18149.4319593644,-15.91494416,-119.15363778125,39.624399,0.203523,1,18142.75055,-119.090371
2,3612,18000.6233207296,-15.7408679,-119.263765,59.321477,0.203523,1,17994.89954,-119.263765
2,3614,17856.9549009908,-15.59705659,-119.309870625,85.922722,0.203523,1,17857.24346,-119.375768
2,3616,17716.4890001027,-15.48515693,-119.20334375,112.874267,0.203523,1,17721.26276,-119.221402
2,3618,17578.5601237683,-15.35306668,-119.00501425,129.178839,0.203523,1,17581.01391,-118.97954
2,3620,17442.8299852132,-15.21708437,-118.775712,142.563874,0.203523,1,17442.65366,-118.775712
2,3622,17306.8985345941,-15.09558347,-118.352027185185,164.830008,0.203523,1,17311.8322,-118.530516
2,3624,17172.4558325795,-14.97377548,-117.726483481482,172.950092,0.203523,1,17171.3212,-117.644173
2,3626,17039.268626016,-14.82681108,-117.193811,183.482527,0.203523,1,17036.02749,-117.193811
2,3628,16907.2754337971,-14.6805549,-116.87141415625,197.951253,0.203523,1,16907.2581,-116.868186
2,3630,16776.6481244333,-14.55981521,-116.614749,210.277439,0.203523,1,16778.54217,-116.454317
2,3632,16647.1448535183,-14.44529372,-116.32562309375,213.378518,0.203523,1,16647.27245,-116.344399
2,3634,16519.1761644449,-14.32440351,-115.905844,216.415059,0.203523,1,16517.8176,-115.905844
2,3636,16392.7824854703,-14.20736284,-115.328673666667,227.825327,0.203523,1,16397.33174,-115.308726
2,3638,16267.8149113779,-14.08890757,-114.691341,223.004476,0.203523,1,16267.31202,-114.674677
2,3640,16145.0847949281,-13.9547685,-114.081604,221.496747,0.203523,1,16142.99353,-114.081604
2,3642,16024.2274792892,-13.82741833,-113.58188290625,219.233873,0.203523,1,16020.97824,-113.541304
2,3644,15905.5876575878,-13.70998538,-113.20111925,217.95018,0.203523,1,15904.19364,-112.960256
2,3646,15789.5030447787,-13.60376057,-112.91685296875,226.532261,0.203523,1,15796.38893,-112.768604
2,3648,15675.9910107826,-13.50058729,-112.706624,219.499111,0.203523,1,15677.40608,-112.706624
2,3650,15565.8800314758,-13.38524385,-112.431116962963,211.962473,0.203523,1,15560.69133,-112.40721
2,3652,15458.5467508576,-13.2588029,-112.019829703704,215.264081,0.203523,1,15455.55454,-111.93989
2,3654,15353.2082812595,-13.1480336,-111.553522,216.979014,0.203523,1,15352.28695,-111.553522
2,3656,15250.4673951474,-13.04893702,-111.07846328125,218.782511,0.203523,1,15250.2974,-111.006094
2,3658,15149.7719335118,-12.97020041,-110.5751605,226.420603,0.203523,1,15154.61074,-110.409385
2,3660,15051.2643892645,-12.8990886,-110.02572971875,224.611523,0.203523,1,15053.25259,-109.957638
2,3662,14954.2248017723,-12.82424037,-109.412287,219.431125,0.203523,1,14951.06953,-109.412287
2,3664,14857.2694936972,-12.72888275,-108.860847375,216.993607,0.203523,1,14854.33158,-108.654818
2,3666,14761.3767642279,-12.63502668,-108.49302,222.046704,0.203523,1,14762.83542,-108.066283
2,3668,14665.9507287257,-12.55689265,-108.284312125,224.65482,0.203523,1,14671.43077,-108.039259
2,3670,14571.7970640175,-12.47820536,-108.210231,214.864952,0.203523,1,14572.56754,-108.210231
2,3672,14478.6849114336,-12.37912872,-108.153989375,211.744408,0.203523,1,14478.88948,-108.009395
2,3674,14387.2658370633,-12.27193608,-108.0371115,203.257295,0.203523,1,14383.58308,-107.838974
2,3676,14297.9892145639,-12.16387976,-107.892571875,203.841827,0.203523,1,14297.7192,-107.845782
2,3678,14210.8104421611,-12.06420252,-107.753345,198.199827,0.203523,1,14210.85156,-107.753345
2,3680,14127.378895717,-11.97394766,-107.59626,190.324005,0.203523,1,14123.80522,-107.594624
2,3682,14046.6981603965,-11.88095472,-107.368420333333,195.009833,0.203523,1,14046.0303,-107.475742
2,3684,13967.2185659359,-11.80211105,-107.058212,199.052451,0.203523,1,13967.96295,-107.058212
2,3686,13889.3219245021,-11.74426158,-106.894138,201.481644,0.203523,1,13889.53096,-106.765214
2,3688,13812.77490332,-11.70578871,-107.0153085,204.711161,0.203523,1,13815.24735,-107.084633
2,3690,13736.235346322,-11.66941126,-107.27602025,204.145302,0.203523,1,13739.64747,-107.282279
2,3692,13660.9868805736,-11.61967842,-107.53057,199.890777,0.203523,1,13660.94159,-107.53057
2,3694,13586.8702195926,-11.55103394,-107.741663703704,198.866062,0.203523,1,13585.842,-107.688081
2,3696,13513.7681135579,-11.48119436,-107.936450962963,199.96229,0.203523,1,13513.03388,-107.81565
2,3698,13443.209904484,-11.41934039,-108.065894,199.182372,0.203523,1,13441.23372,-108.065894
2,3700,13375.5341086634,-11.35443605,-108.12993128125,201.696218,0.203523,1,13373.23638,-107.9765
2,3702,13310.0032863397,-11.27292584,-108.190177,206.806749,0.203523,1,13309.84247,-107.948568
2,3704,13246.6607625839,-11.18732818,-108.29010696875,214.790629,0.203523,1,13248.76295,-108.194071
2,3706,13185.5330396009,-11.10828788,-108.473197,218.636357,0.203523,1,13186.32383,-108.473197
2,3708,13126.358671038,-11.04118221,-108.669167444445,229.853738,0.203523,1,13129.89744,-108.672395
2,3710,13069.294990471,-10.99925709,-108.773947222222,228.35445,0.203523,1,13067.52902,-108.809254
2,3712,13014.8603414345,-10.97024337,-108.780325,234.75334,0.203523,1,13013.00432,-108.780325
